Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan(ton),Plastik(%),Estimasi_Timbulan_Plastik_Ton,Capaian_Timbulan_A,Capaian_Pengurangan_B,Capaian_Penanganan_C,Capaian_Terkelola_BC,Capaian_DaurUlang_D,Recycling_Rate,Estimasi_DaurUlang_Plastik_Ton,Estimasi_Plastik_Terkelola_Ton,TPS3R_SampahMasuk,TPS3R_SampahTerkelola,TPA_SampahMasuk,TPA_SampahLandfill,Penduduk
2024,Jawa Barat,Kab. Sumedang,176030.01,27.5,48408.25275000001,176030.01,0.0,9106.6,9106.6,0.0,5.17,0.0,2504.3150000000005,1499.06,290.15,51983.3,51734.0,
2024,Jawa Barat,Kab. Indramayu,414835.78,35.8,148511.20924,414835.78,360.52,109146.66,109507.18,65.34,8.21,23.39172,39203.570439999996,890.61,557.38,224292.5,218087.5,
2024,Jawa Barat,Kab. Purwakarta,152672.78,16.65,25420.017869999996,152672.78,0.0,4465.17,4465.17,0.0,2.92,0.0,743.450805,2555.0,2555.0,19593.2,15578.2,
2024,Jawa Barat,Kab. Karawang,389444.24,20.0,77888.848,389444.24,0.0,6331.15,6331.15,0.0,1.63,0.0,1266.23,13581.92,4599.88,138094.1,137911.6,
2024,Jawa Barat,Kab. Bekasi,614462.32,0.0,0.0,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,0.0,427.6,354.9,306662.04,306662.04,
2024,Jawa Barat,Kab. Bekasi,614462.32,0.0,0.0,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,0.0,427.6,354.9,421812.26,421812.26,
2024,Jawa Barat,Kab. Bekasi,614462.32,0.0,0.0,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,0.0,3956.99,3781.74,306662.04,306662.04,
2024,Jawa Barat,Kab. Bekasi,614462.32,0.0,0.0,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,0.0,3956.99,3781.74,421812.26,421812.26,
2024,Jawa Barat,Kab. Bekasi,614462.32,0.0,0.0,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,0.0,427.6,354.9,306662.04,306662.04,
2024,Jawa Barat,Kab. Bekasi,614462.32,0.0,0.0,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,0.0,427.6,354.9,421812.26,421812.26,
2024,Jawa Barat,Kab. Bekasi,614462.32,0.0,0.0,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,0.0,3956.99,3781.74,306662.04,306662.04,
2024,Jawa Barat,Kab. Bekasi,614462.32,0.0,0.0,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,0.0,3956.99,3781.74,421812.26,421812.26,
2024,Jawa Barat,Kab. Bekasi,614462.32,15.6,95856.12191999999,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,275.99052,427.6,354.9,306662.04,306662.04,
2024,Jawa Barat,Kab. Bekasi,614462.32,15.6,95856.12191999999,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,275.99052,427.6,354.9,421812.26,421812.26,
2024,Jawa Barat,Kab. Bekasi,614462.32,15.6,95856.12191999999,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,275.99052,3956.99,3781.74,306662.04,306662.04,
2024,Jawa Barat,Kab. Bekasi,614462.32,15.6,95856.12191999999,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,275.99052,3956.99,3781.74,421812.26,421812.26,
2024,Jawa Barat,Kab. Bekasi,614462.32,15.6,95856.12191999999,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,5948.15676,427.6,354.9,306662.04,306662.04,
2024,Jawa Barat,Kab. Bekasi,614462.32,15.6,95856.12191999999,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,5948.15676,427.6,354.9,421812.26,421812.26,
2024,Jawa Barat,Kab. Bekasi,614462.32,15.6,95856.12191999999,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,5948.15676,3956.99,3781.74,306662.04,306662.04,
2024,Jawa Barat,Kab. Bekasi,614462.32,15.6,95856.12191999999,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,5948.15676,3956.99,3781.74,421812.26,421812.26,
2024,Jawa Barat,Kab. Bandung Barat,275091.74,16.0,44014.6784,275091.74,739.49,18148.81,18888.3,739.49,3.83,118.3184,3022.128,5903.21,4571.63,50677.82,50677.82,
2024,Jawa Barat,Kab. Pangandaran,64993.07,45.14,29337.871798,64993.07,0.0,2504.09,2504.09,0.0,3.85,0.0,1130.3462260000001,112270.35,2321.2200000000003,28203.55,28203.55,
2024,Jawa Barat,Kota Bogor,275707.63,15.0,41356.1445,275707.63,57527.5,200886.69,258414.19,57314.42,24.45,8597.162999999999,38762.1285,282.88,237.25,188004.2,181715.25,
2024,Jawa Barat,Kota Bogor,275707.63,15.0,41356.1445,275707.63,57527.5,200886.69,258414.19,57314.42,24.45,8597.162999999999,38762.1285,7784.2300000000005,4928.63,188004.2,181715.25,
2024,Jawa Barat,Kota Bandung,546151.49,20.0,109230.29800000001,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.41,34952.208000000006,129162.55,99202.21,102200.0,102200.0,
2024,Jawa Barat,Kota Bandung,546151.49,20.0,109230.29800000001,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.41,34952.208000000006,129162.55,99202.21,390185.0,390185.0,
2024,Jawa Barat,Kota Bandung,546151.49,20.0,109230.29800000001,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.41,34952.208000000006,36266.96,9035.65,102200.0,102200.0,
2024,Jawa Barat,Kota Bandung,546151.49,20.0,109230.29800000001,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.41,34952.208000000006,36266.96,9035.65,390185.0,390185.0,
2024,Jawa Barat,Kota Bandung,546151.49,20.0,109230.29800000001,546151.49,520.95,119175.65,119696.6,520.95,21.92,104.19000000000001,23939.320000000003,129162.55,99202.21,102200.0,102200.0,
2024,Jawa Barat,Kota Bandung,546151.49,20.0,109230.29800000001,546151.49,520.95,119175.65,119696.6,520.95,21.92,104.19000000000001,23939.320000000003,129162.55,99202.21,390185.0,390185.0,
2024,Jawa Barat,Kota Bandung,546151.49,20.0,109230.29800000001,546151.49,520.95,119175.65,119696.6,520.95,21.92,104.19000000000001,23939.320000000003,36266.96,9035.65,102200.0,102200.0,
2024,Jawa Barat,Kota Bandung,546151.49,20.0,109230.29800000001,546151.49,520.95,119175.65,119696.6,520.95,21.92,104.19000000000001,23939.320000000003,36266.96,9035.65,390185.0,390185.0,
2024,Jawa Barat,Kota Bandung,546151.49,16.7,91207.29882999999,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.01235,29185.093679999998,129162.55,99202.21,102200.0,102200.0,
2024,Jawa Barat,Kota Bandung,546151.49,16.7,91207.29882999999,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.01235,29185.093679999998,129162.55,99202.21,390185.0,390185.0,
2024,Jawa Barat,Kota Bandung,546151.49,16.7,91207.29882999999,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.01235,29185.093679999998,36266.96,9035.65,102200.0,102200.0,
2024,Jawa Barat,Kota Bandung,546151.49,16.7,91207.29882999999,478956.72,12.05,174748.98,174761.04,12.05,24.37,2.01235,29185.093679999998,36266.96,9035.65,390185.0,390185.0,
2024,Jawa Barat,Kota Bandung,546151.49,16.7,91207.29882999999,546151.49,520.95,119175.65,119696.6,520.95,21.92,86.99865,19989.332199999997,129162.55,99202.21,102200.0,102200.0,
2024,Jawa Barat,Kota Bandung,546151.49,16.7,91207.29882999999,546151.49,520.95,119175.65,119696.6,520.95,21.92,86.99865,19989.332199999997,129162.55,99202.21,390185.0,390185.0,
2024,Jawa Barat,Kota Bandung,546151.49,16.7,91207.29882999999,546151.49,520.95,119175.65,119696.6,520.95,21.92,86.99865,19989.332199999997,36266.96,9035.65,102200.0,102200.0,
2024,Jawa Barat,Kota Bandung,546151.49,16.7,91207.29882999999,546151.49,520.95,119175.65,119696.6,520.95,21.92,86.99865,19989.332199999997,36266.96,9035.65,390185.0,390185.0,
2024,Jawa Barat,Kota Cirebon,78969.28,19.01,15012.060128000001,78969.28,16.83,8576.77,8593.6,4.11,10.87,0.7813110000000001,1633.6433600000003,,,58595.2,58595.2,
2024,Jawa Barat,Kota Bekasi,645426.98,0.0,0.0,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,0.0,427.6,354.9,306662.04,306662.04,
2024,Jawa Barat,Kota Bekasi,645426.98,0.0,0.0,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,0.0,427.6,354.9,421812.26,421812.26,
2024,Jawa Barat,Kota Bekasi,645426.98,0.0,0.0,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,0.0,3956.99,3781.74,306662.04,306662.04,
2024,Jawa Barat,Kota Bekasi,645426.98,0.0,0.0,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,0.0,3956.99,3781.74,421812.26,421812.26,
2024,Jawa Barat,Kota Bekasi,645426.98,0.0,0.0,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,0.0,427.6,354.9,306662.04,306662.04,
2024,Jawa Barat,Kota Bekasi,645426.98,0.0,0.0,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,0.0,427.6,354.9,421812.26,421812.26,
2024,Jawa Barat,Kota Bekasi,645426.98,0.0,0.0,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,0.0,3956.99,3781.74,306662.04,306662.04,
2024,Jawa Barat,Kota Bekasi,645426.98,0.0,0.0,645426.98,0.0,38129.21,38129.21,0.0,5.91,0.0,0.0,3956.99,3781.74,421812.26,421812.26,
2024,Jawa Barat,Kota Bekasi,645426.98,15.6,100686.60888,614462.32,0.0,1769.17,1769.17,0.0,0.29,0.0,275.99052,427.6,354.9,306662.04,306662.04,
